GO:0014033	("GO:0014033"OR"0014033"OR"14033"OR"neural crest cell differentiation")
GO:0060433	("GO:0060433"OR"0060433"OR"60433"OR"bronchus development")
GO:0060684	("GO:0060684"OR"0060684"OR"60684"OR"epithelial-mesenchymal cell signaling"OR"epithelial-mesenchymal cell signalling")
GO:0060687	("GO:0060687"OR"0060687"OR"60687"OR"regulation of branching involved in prostate gland morphogenesis")
GO:0070062	("GO:0070062"OR"0070062"OR"70062"OR"extracellular exosome"OR"exosome"OR"extracellular vesicular exosome")
GO:0070254	("GO:0070254"OR"0070254"OR"70254"OR"mucus secretion"OR"mucus production")
GO:0071073	("GO:0071073"OR"0071073"OR"71073"OR"positive regulation of phospholipid biosynthetic process"OR"activation of phospholipid biosynthetic process"OR"positive regulation of phospholipid anabolism"OR"positive regulation of phospholipid biosynthesis"OR"positive regulation of phospholipid formation"OR"positive regulation of phospholipid synthesis"OR"stimulation of phospholipid biosynthetic process"OR"up regulation of phospholipid biosynthetic process"OR"up-regulation of phospholipid biosynthetic process"OR"upregulation of phospholipid biosynthetic process")
GO:0071236	("GO:0071236"OR"0071236"OR"71236"OR"cellular response to antibiotic")
GO:1900102	("GO:1900102"OR"1900102"OR"1900102"OR"negative regulation of endoplasmic reticulum unfolded protein response"OR"down regulation of endoplasmic reticulum unfolded protein response"OR"down regulation of ER unfolded protein response"OR"down regulation of erUPR"OR"down regulation of SREBP-mediated signalling pathway"OR"down-regulation of endoplasmic reticulum unfolded protein response"OR"down-regulation of ER unfolded protein response"OR"down-regulation of erUPR"OR"down-regulation of SREBP-mediated signalling pathway"OR"downregulation of endoplasmic reticulum unfolded protein response"OR"downregulation of ER unfolded protein response"OR"downregulation of erUPR"OR"downregulation of SREBP-mediated signalling pathway"OR"inhibition of endoplasmic reticulum unfolded protein response"OR"inhibition of ER unfolded protein response"OR"inhibition of erUPR"OR"inhibition of SREBP-mediated signalling pathway"OR"negative regulation of ER unfolded protein response"OR"negative regulation of erUPR"OR"negative regulation of SREBP-mediated signalling pathway")
GO:1902236	("GO:1902236"OR"1902236"OR"1902236"OR"negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway"OR"down regulation of apoptosis in response to ER stress"OR"down regulation of apoptosis triggered by ER stress"OR"down regulation of endoplasmic reticulum stress-induced apoptosis"OR"down regulation of ER stress-induced apoptosis"OR"down regulation of intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"OR"down regulation of intrinsic apoptotic signaling pathway induced by endoplasmic reticulum stress"OR"down-regulation of apoptosis in response to ER stress"OR"down-regulation of apoptosis triggered by ER stress"OR"down-regulation of endoplasmic reticulum stress-induced apoptosis"OR"down-regulation of ER stress-induced apoptosis"OR"down-regulation of intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"OR"down-regulation of intrinsic apoptotic signaling pathway induced by endoplasmic reticulum stress"OR"downregulation of apoptosis in response to ER stress"OR"downregulation of apoptosis triggered by ER stress"OR"downregulation of endoplasmic reticulum stress-induced apoptosis"OR"downregulation of ER stress-induced apoptosis"OR"downregulation of intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"OR"downregulation of intrinsic apoptotic signaling pathway induced by endoplasmic reticulum stress"OR"inhibition of apoptosis in response to ER stress"OR"inhibition of apoptosis triggered by ER stress"OR"inhibition of endoplasmic reticulum stress-induced apoptosis"OR"inhibition of ER stress-induced apoptosis"OR"inhibition of intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"OR"inhibition of intrinsic apoptotic signaling pathway induced by endoplasmic reticulum stress"OR"negative regulation of apoptosis in response to ER stress"OR"negative regulation of apoptosis triggered by ER stress"OR"negative regulation of endoplasmic reticulum stress-induced apoptosis"OR"negative regulation of ER stress-induced apoptosis"OR"negative regulation of intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress"OR"negative regulation of intrinsic apoptotic signaling pathway induced by endoplasmic reticulum stress")
GO:1903896	("GO:1903896"OR"1903896"OR"1903896"OR"positive regulation of IRE1-mediated unfolded protein response"OR"activation of endoplasmic reticulum unfolded protein response; IRE1 signaling"OR"activation of inositol-requiring transmembrane kinase/endonuclease signal transduction"OR"activation of IRE1 branch of UPR"OR"activation of IRE1 signaling in response to endoplasmic reticulum stress"OR"activation of IRE1-mediated unfolded protein response"OR"activation of IRE1alpha unfolded protein response"OR"activation of IRE1p unfolded protein response"OR"activation of UPR signaling by IRE1 stress sensor"OR"positive regulation of endoplasmic reticulum unfolded protein response; IRE1 signaling"OR"positive regulation of inositol-requiring transmembrane kinase/endonuclease signal transduction"OR"positive regulation of IRE1 branch of UPR"OR"positive regulation of IRE1 signaling in response to endoplasmic reticulum stress"OR"positive regulation of IRE1alpha unfolded protein response"OR"positive regulation of IRE1p unfolded protein response"OR"positive regulation of UPR signaling by IRE1 stress sensor"OR"up regulation of endoplasmic reticulum unfolded protein response; IRE1 signaling"OR"up regulation of inositol-requiring transmembrane kinase/endonuclease signal transduction"OR"up regulation of IRE1 branch of UPR"OR"up regulation of IRE1 signaling in response to endoplasmic reticulum stress"OR"up regulation of IRE1-mediated unfolded protein response"OR"up regulation of IRE1alpha unfolded protein response"OR"up regulation of IRE1p unfolded protein response"OR"up regulation of UPR signaling by IRE1 stress sensor"OR"up-regulation of endoplasmic reticulum unfolded protein response; IRE1 signaling"OR"up-regulation of inositol-requiring transmembrane kinase/endonuclease signal transduction"OR"up-regulation of IRE1 branch of UPR"OR"up-regulation of IRE1 signaling in response to endoplasmic reticulum stress"OR"up-regulation of IRE1-mediated unfolded protein response"OR"up-regulation of IRE1alpha unfolded protein response"OR"up-regulation of IRE1p unfolded protein response"OR"up-regulation of UPR signaling by IRE1 stress sensor"OR"upregulation of endoplasmic reticulum unfolded protein response; IRE1 signaling"OR"upregulation of inositol-requiring transmembrane kinase/endonuclease signal transduction"OR"upregulation of IRE1 branch of UPR"OR"upregulation of IRE1 signaling in response to endoplasmic reticulum stress"OR"upregulation of IRE1-mediated unfolded protein response"OR"upregulation of IRE1alpha unfolded protein response"OR"upregulation of IRE1p unfolded protein response"OR"upregulation of UPR signaling by IRE1 stress sensor")
GO:2000047	("GO:2000047"OR"2000047"OR"2000047"OR"regulation of cell-cell adhesion mediated by cadherin")
GO:0000212	("GO:0000212"OR"0000212"OR"212"OR"meiotic spindle organization"OR"meiotic spindle organisation"OR"meiotic spindle organization and biogenesis"OR"spindle organization during meiosis")
GO:0000796	("GO:0000796"OR"0000796"OR"796"OR"condensin complex"OR"13S condensin complex"OR"SMC complex"OR"GO:0005676"OR"GO:0008620")
GO:0001556	("GO:0001556"OR"0001556"OR"1556"OR"oocyte maturation")
GO:0003688	("GO:0003688"OR"0003688"OR"3688"OR"DNA replication origin binding"OR"ARS binding")
GO:0004523	("GO:0004523"OR"0004523"OR"4523"OR"RNA-DNA hybrid ribonuclease activity"OR"calf thymus ribonuclease H activity"OR"endoribonuclease H"OR"endoribonuclease H (calf thymus)"OR"endoribonuclease0 H activity"OR"hybrid nuclease activity"OR"hybrid ribonuclease activity"OR"hybridase (ribonuclease H)"OR"hybridase activity"OR"ribonuclease H activity"OR"ribonuclease H1 activity"OR"ribonuclease H2 activity"OR"ribonuclease H3 activity"OR"RNA*DNA hybrid ribonucleotidohydrolase activity"OR"RNase H activity"OR"RNase H1 activity"OR"RNase H2 activity"OR"RNase H3 activity"OR"GO:0004524")
GO:0005654	("GO:0005654"OR"0005654"OR"5654"OR"nucleoplasm")
GO:0005871	("GO:0005871"OR"0005871"OR"5871"OR"kinesin complex")
GO:0005876	("GO:0005876"OR"0005876"OR"5876"OR"spindle microtubule")
GO:0005881	("GO:0005881"OR"0005881"OR"5881"OR"cytoplasmic microtubule"OR"non-spindle-associated astral microtubule")
GO:0007076	("GO:0007076"OR"0007076"OR"7076"OR"mitotic chromosome condensation")
GO:0007077	("GO:0007077"OR"0007077"OR"7077"OR"mitotic nuclear envelope disassembly"OR"mitotic nuclear envelope breakdown"OR"mitotic nuclear envelope catabolism"OR"mitotic nuclear envelope degradation")
GO:0007080	("GO:0007080"OR"0007080"OR"7080"OR"mitotic metaphase plate congression")
GO:0007095	("GO:0007095"OR"0007095"OR"7095"OR"mitotic G2 DNA damage checkpoint"OR"mitotic cell cycle G2/M transition DNA damage checkpoint")
GO:0007264	("GO:0007264"OR"0007264"OR"7264"OR"small GTPase mediated signal transduction"OR"small GTPase-mediated signal transduction")
GO:0030496	("GO:0030496"OR"0030496"OR"30496"OR"midbody")
GO:0032133	("GO:0032133"OR"0032133"OR"32133"OR"chromosome passenger complex"OR"chromosomal passenger complex"OR"CPC"OR"CPC complex")
GO:0032355	("GO:0032355"OR"0032355"OR"32355"OR"response to estradiol"OR"response to E2 stimulus"OR"response to estradiol stimulus")
GO:0032466	("GO:0032466"OR"0032466"OR"32466"OR"negative regulation of cytokinesis"OR"down regulation of cytokinesis"OR"down-regulation of cytokinesis"OR"downregulation of cytokinesis"OR"inhibition of cytokinesis"OR"negative regulation of cell cycle cytokinesis"OR"GO:0071776")
GO:0032467	("GO:0032467"OR"0032467"OR"32467"OR"positive regulation of cytokinesis"OR"activation of cytokinesis"OR"positive regulation of cell cycle cytokinesis"OR"stimulation of cytokinesis"OR"up regulation of cytokinesis"OR"up-regulation of cytokinesis"OR"upregulation of cytokinesis"OR"GO:0071777")
GO:0032506	("GO:0032506"OR"0032506"OR"32506"OR"cytokinetic process")
GO:0033260	("GO:0033260"OR"0033260"OR"33260"OR"nuclear DNA replication"OR"DNA replication during S phase"OR"DNA replication involved in S phase"OR"DNA replication involved in S-phase"OR"nuclear cell cycle DNA replication")
GO:0034080	("GO:0034080"OR"0034080"OR"34080"OR"CENP-A containing nucleosome assembly"OR"CenH3-containing nucleosome assembly at centromere"OR"CENP-A containing nucleosome assembly at centromere"OR"CENP-A deposition"OR"CENP-A loading"OR"centromere specific nucleosome exchange"OR"centromere-specific histone exchange"OR"centromeric DNA replication-independent nucleosome assembly"OR"DNA replication-independent nucleosome assembly at centromere"OR"GO:0034509")
GO:0035404	("GO:0035404"OR"0035404"OR"35404"OR"histone-serine phosphorylation"OR"histone serine phosphorylation")
GO:0042555	("GO:0042555"OR"0042555"OR"42555"OR"MCM complex"OR"mini-chromosome maintenance complex")
GO:0046602	("GO:0046602"OR"0046602"OR"46602"OR"regulation of mitotic centrosome separation")
GO:0051256	("GO:0051256"OR"0051256"OR"51256"OR"mitotic spindle midzone assembly"OR"mitotic spindle midzone biogenesis"OR"mitotic spindle midzone biosynthesis"OR"mitotic spindle midzone formation"OR"spindle midzone assembly involved in mitosis"OR"spindle midzone biogenesis involved in mitosis"OR"spindle midzone formation involved in mitosis")
GO:0060236	("GO:0060236"OR"0060236"OR"60236"OR"regulation of mitotic spindle organization"OR"regulation of mitotic spindle organisation"OR"regulation of mitotic spindle organization and biogenesis")
GO:0070182	("GO:0070182"OR"0070182"OR"70182"OR"DNA polymerase binding")
GO:0070938	("GO:0070938"OR"0070938"OR"70938"OR"contractile ring"OR"constriction ring"OR"cytokinetic ring")
GO:0071168	("GO:0071168"OR"0071168"OR"71168"OR"protein localization to chromatin"OR"protein localisation to chromatin")
GO:0072687	("GO:0072687"OR"0072687"OR"72687"OR"meiotic spindle")
GO:0090266	("GO:0090266"OR"0090266"OR"90266"OR"regulation of mitotic cell cycle spindle assembly checkpoint")
